"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"538";"Q";"de:09161:790:0:98";"de:09161:790";"98";"48,71484";"11,40994";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"539";"Q";"de:09161:790:0:99";"de:09161:790";"99";"48,71487";"11,41001";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"540";"S";"de:09161:791";"de:09161:791";"IN, Zucheringer Straße";"48,71947";"11,40115";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"541";"Q";"de:09161:791:0:1";"de:09161:791";"1";"48,71937";"11,40128";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"542";"Q";"de:09161:791:0:2";"de:09161:791";"2";"48,7196";"11,40102";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"543";"S";"de:09161:795";"de:09161:795";"IN, Am Westpark 2";"48,77516";"11,38774";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";"-"
"544";"Q";"de:09161:795:0:99";"de:09161:795";"99";"48,77517";"11,38773";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"545";"S";"de:09161:796";"de:09161:796";"IN, Am Westpark 3";"48,77491";"11,38748";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";"-"
"546";"Q";"de:09161:796:0:99";"de:09161:796";"99";"48,77491";"11,38748";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"547";"S";"de:09161:7980";"de:09161:7980";"IN, Christoph-Scheiner-Gymnasium";"48,76025";"11,42249";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"548";"Q";"de:09161:7980:0:1";"de:09161:7980";"1";"48,76025";"11,42238";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"549";"Q";"de:09161:7980:0:2";"de:09161:7980";"2";"48,76025";"11,42248";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"550";"Q";"de:09161:7980:0:3";"de:09161:7980";"4";"48,76027";"11,42256";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"551";"S";"de:09161:7981";"de:09161:7981";"IN, St.-Michael-Straße";"48,80375";"11,40423";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"552";"Q";"de:09161:7981:0:1";"de:09161:7981";"2";"48,80378";"11,40414";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"553";"Q";"de:09161:7981:0:2";"de:09161:7981";"1";"48,80365";"11,40449";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"554";"Q";"de:09161:7981:0:3";"de:09161:7981";"99";"48,80381";"11,40404";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"555";"S";"de:09161:7983";"de:09161:7983";"IN, St. Anton";"48,74737";"11,43384";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"556";"Q";"de:09161:1648:0:3";"de:09161:7983";"3";"48,74736";"11,43385";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"557";"Q";"de:09161:7983:0:1";"de:09161:7983";"1";"48,74758";"11,43306";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"558";"Q";"de:09161:7983:0:2";"de:09161:7983";"2";"48,74701";"11,43464";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"559";"S";"de:09161:7984";"de:09161:7984";"IN, St. Markus";"48,75132";"11,43245";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"560";"Q";"de:09161:7984:0:1";"de:09161:7984";"1";"48,75134";"11,43244";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"561";"Q";"de:09161:7984:0:2";"de:09161:7984";"2";"48,75129";"11,43249";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"562";"Q";"de:09161:7984:0:3";"de:09161:7984";"3";"48,75156";"11,43237";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"563";"Q";"de:09161:7984:0:4";"de:09161:7984";"4";"48,75109";"11,43265";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"564";"Q";"de:09161:7984:0:5";"de:09161:7984";"5";"48,75139";"11,4332";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"565";"S";"de:09161:7985";"de:09161:7985";"IN, Rankestraße";"48,75431";"11,43122";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"566";"Q";"de:09161:7985:0:1";"de:09161:7985";"1";"48,75428";"11,43111";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"567";"Q";"de:09161:7985:0:2";"de:09161:7985";"2";"48,75431";"11,43121";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
